"totInt","cellArea","cellnum","bkgrdInt","frame","cond","time","strain"
3953827,233,5,1699.2981,8,"infected",180,"LZ22221"
534827,140,6,1699.2981,8,"infected",180,"LZ22221"
993403,314,1,1621.5156,9,"infected",180,"LZ22221"
517869,228,2,1621.5156,9,"infected",180,"LZ22221"
8403326,482,3,1621.5156,9,"infected",180,"LZ22221"
387024,168,4,1621.5156,9,"infected",180,"LZ22221"
2951058,156,5,1621.5156,9,"infected",180,"LZ22221"
771799,431,1,1693.9136,10,"infected",180,"LZ22221"
5071026,279,2,1693.9136,10,"infected",180,"LZ22221"
2885518,208,3,1693.9136,10,"infected",180,"LZ22221"
5994165,370,4,1693.9136,10,"infected",180,"LZ22221"
7461329,346,5,1693.9136,10,"infected",180,"LZ22221"
3176530,249,2,1642.9365,1,"infected",180,"LZ22221"
9448690,591,3,1642.9365,1,"infected",180,"LZ22221"
336050,190,1,1558.5341,2,"infected",180,"LZ22221"
556816,234,2,1558.5341,2,"infected",180,"LZ22221"
2688915,202,3,1558.5341,2,"infected",180,"LZ22221"
296245,151,4,1558.5341,2,"infected",180,"LZ22221"
1388992,176,5,1558.5341,2,"infected",180,"LZ22221"
3766765,152,6,1558.5341,2,"infected",180,"LZ22221"
3562063,191,7,1558.5341,2,"infected",180,"LZ22221"
628643,87,8,1558.5341,2,"infected",180,"LZ22221"
135478,72,9,1558.5341,2,"infected",180,"LZ22221"
1841075,213,1,1620.4729,3,"infected",180,"LZ22221"
2920059,248,2,1620.4729,3,"infected",180,"LZ22221"
2148356,149,3,1620.4729,3,"infected",180,"LZ22221"
1012075,481,4,1620.4729,3,"infected",180,"LZ22221"
3495579,230,5,1620.4729,3,"infected",180,"LZ22221"
491110,251,6,1620.4729,3,"infected",180,"LZ22221"
281710,139,7,1620.4729,3,"infected",180,"LZ22221"
10593329,517,8,1620.4729,3,"infected",180,"LZ22221"
2507374,144,9,1620.4729,3,"infected",180,"LZ22221"
5500998,376,10,1620.4729,3,"infected",180,"LZ22221"
1056863,165,11,1620.4729,3,"infected",180,"LZ22221"
6530844,348,1,1724.3822,4,"infected",180,"LZ22221"
5341221,258,2,1724.3822,4,"infected",180,"LZ22221"
1119069,545,3,1724.3822,4,"infected",180,"LZ22221"
4736993,203,4,1724.3822,4,"infected",180,"LZ22221"
2074862,90,5,1724.3822,4,"infected",180,"LZ22221"
651156,245,1,1535.1393,5,"infected",180,"LZ22221"
6823401,409,2,1535.1393,5,"infected",180,"LZ22221"
370003,184,3,1535.1393,5,"infected",180,"LZ22221"
8562878,521,4,1535.1393,5,"infected",180,"LZ22221"
7743479,463,5,1535.1393,5,"infected",180,"LZ22221"
3154021,250,6,1535.1393,5,"infected",180,"LZ22221"
3131878,270,1,1976.4813,6,"infected",180,"LZ22221"
2654489,215,2,1976.4813,6,"infected",180,"LZ22221"
510809,279,3,1976.4813,6,"infected",180,"LZ22221"
9085062,580,4,1976.4813,6,"infected",180,"LZ22221"
2175055,206,5,1976.4813,6,"infected",180,"LZ22221"
6104677,366,6,1976.4813,6,"infected",180,"LZ22221"
4106924,198,7,1976.4813,6,"infected",180,"LZ22221"
2142425,155,8,1976.4813,6,"infected",180,"LZ22221"
812978,383,9,1976.4813,6,"infected",180,"LZ22221"
2094332,157,10,1976.4813,6,"infected",180,"LZ22221"
1041736,181,11,1976.4813,6,"infected",180,"LZ22221"
1513111,141,12,1976.4813,6,"infected",180,"LZ22221"
3592626,175,13,1976.4813,6,"infected",180,"LZ22221"
2793134,115,14,1976.4813,6,"infected",180,"LZ22221"
739788,164,15,1976.4813,6,"infected",180,"LZ22221"
1514991,92,16,1976.4813,6,"infected",180,"LZ22221"
2620119,177,17,1976.4813,6,"infected",180,"LZ22221"
5916319,423,18,1976.4813,6,"infected",180,"LZ22221"
603282,139,19,1976.4813,6,"infected",180,"LZ22221"
2164844,218,20,1976.4813,6,"infected",180,"LZ22221"
